date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:15	55112/55112	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a4a43700c1b4097c4e41a0136e2b00b1%22	https://studia.ai/_next/static/chunks/568-ad06adb83619fb22.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/568-ad06adb83619fb22.js	(from https://studia.ai/)
18:35:15	9619/9619	---MCZ	200	added ('OK')	application/javascript	etag:W/%2246525cd5dc0ce03fbe389859a2bfcfd9%22	https://studia.ai/_next/static/chunks/207-a102cdecc61cea77.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/207-a102cdecc61cea77.js	(from https://studia.ai/)
18:35:16	72205/72205	---MCZ	200	added ('OK')	application/javascript	etag:W/%2271363d3a32d0ed881f461a87cab4a637%22	https://studia.ai/_next/static/chunks/983-4573ae3ab340d348.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/983-4573ae3ab340d348.js	(from https://studia.ai/)
18:35:16	7028/7028	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e317e90f515920fae30b663d6cf84355%22	https://studia.ai/_next/static/chunks/app/layout-d293091bb576a9ab.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/app/layout-d293091bb576a9ab.js	(from https://studia.ai/)
18:35:16	21197/21197	---MCZ	200	added ('OK')	application/javascript	etag:W/%22048202fc0e727217e70ded496b1d457c%22	https://studia.ai/_next/static/chunks/359-c403d984cb808e8c.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/359-c403d984cb808e8c.js	(from https://studia.ai/)
18:35:17	30884/30884	---MCZ	200	added ('OK')	application/javascript	etag:W/%223ab7860d1dea01d328829d7c38d3c32a%22	https://studia.ai/_next/static/chunks/662-d783a8152da1c52b.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/662-d783a8152da1c52b.js	(from https://studia.ai/)
18:35:17	9776/9776	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f2180a159f1e1d5bef50680d5849bc9%22	https://studia.ai/_next/static/chunks/205-e327e4fa7a9343e0.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/205-e327e4fa7a9343e0.js	(from https://studia.ai/)
18:35:17	132912/132912	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b55e924016949ae044683563453e4e1e%22	https://studia.ai/_next/static/chunks/645-caae057b37b2f805.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/645-caae057b37b2f805.js	(from https://studia.ai/)
18:35:18	8596/8596	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e94a60d96244128e4fc71ed4a5af7dd3%22	https://studia.ai/_next/static/chunks/475-6d6b5a1a7cd22a10.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/475-6d6b5a1a7cd22a10.js	(from https://studia.ai/)
18:35:18	9080/9080	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a3bfa15ed4cc1ba4ecdd2d383ca0fba6%22	https://studia.ai/_next/static/chunks/app/(marketing)/layout-7210fb9ba06043df.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/app/(marketing)/layout-7210fb9ba06043df.js	(from https://studia.ai/)
18:35:18	401/401	---M--	200	added ('OK')	application/javascript	etag:%22fe9df9ed8716de1bd0c5371ba429a281%22	https://studia.ai/_next/static/chunks/30ffaee2-9610be2a1d530e5b.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/30ffaee2-9610be2a1d530e5b.js	(from https://studia.ai/)
18:35:18	824/824	---M--	200	added ('OK')	application/javascript	etag:%22cc7f0cb96a2fcfb67be3a7f77f323c1a%22	https://studia.ai/_next/static/chunks/47820753-1cedb958ef6c4399.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/47820753-1cedb958ef6c4399.js	(from https://studia.ai/)
18:35:19	16136/16136	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e4cea726b1ef850a64cca4b6e7836c6a%22	https://studia.ai/_next/static/chunks/848-6c576344db99aa54.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/848-6c576344db99aa54.js	(from https://studia.ai/)
18:35:19	27466/27466	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e65c9c8017e8e2a474027cf5ffe732db%22	https://studia.ai/_next/static/chunks/app/(marketing)/page-81a42db13662783a.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/app/(marketing)/page-81a42db13662783a.js	(from https://studia.ai/)
18:35:20	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2005%20Feb%202025%2023:35:19%20GMT	https://clerk.studia.ai/npm/@clerk/clerk-js@5/dist/clerk.browser.js	C:/My%20Web%20Sites/Studia%20AI/clerk.studia.ai/npm/@clerk/clerk-js@5/dist/clerk.browser.16.delayed	(from https://studia.ai/)
18:35:20	278924/278924	---M-Z	200	added ('OK')	application/javascript	etag:W/%224418c-2VA2PsHoTbUV4Bil15gmLea5jOQ%22	https://clerk.studia.ai/npm/@clerk/clerk-js@5.52.1/dist/clerk.browser.js	C:/My%20Web%20Sites/Studia%20AI/clerk.studia.ai/npm/@clerk/clerk-js@5.52.1/dist/clerk.browser.js	(from https://studia.ai/)
18:35:20	20526/20526	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227736ef1fceeda2c1c264b525f6d46fa3%22	https://studia.ai/icon.svg?a179d4c1ff9014e3	C:/My%20Web%20Sites/Studia%20AI/studia.ai/icon9579.svg	(from https://studia.ai/)
18:35:21	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://studia.ai/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://studia.ai/)
18:35:21	20558/20558	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cc408093b1c673bc2ea042f8d9c988d5%22	https://studia.ai/logo_dark.svg	C:/My%20Web%20Sites/Studia%20AI/studia.ai/logo_dark.svg	(from https://studia.ai/)
18:35:21	179612/179612	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Feb%202025%2000:16:04%20GMT	https://studia.ai/_next/image?url=%2Fdemo.png&w=3840&q=75	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/demo576e.png	(from https://studia.ai/)
18:35:22	33510/33510	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202025%2000:22:22%20GMT	https://studia.ai/_next/image?url=%2Farchitecture.jpeg&w=1080&q=75	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/architecture5cd4.jpg	(from https://studia.ai/)
18:35:22	23006/23006	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Feb%202025%2000:22:21%20GMT	https://studia.ai/_next/image?url=%2Ffeatures.png&w=1080&q=75	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/featuresefd6.png	(from https://studia.ai/)
18:35:23	25908/25908	---M--	200	added ('OK')	font/woff2	etag:%2243828e14271c77b87e3ed582dbff9f74%22	https://studia.ai/_next/static/media/55c55f0601d81cf3-s.woff2	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/media/55c55f0601d81cf3-s.woff2	(from https://studia.ai/_next/static/css/108823ae8eada08a.css)
18:35:23	18820/18820	---M--	200	added ('OK')	font/woff2	etag:%22befd9c0fdfa3d8a645d5f95717ed6420%22	https://studia.ai/_next/static/media/26a46d62cd723877-s.woff2	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/media/26a46d62cd723877-s.woff2	(from https://studia.ai/_next/static/css/108823ae8eada08a.css)
18:35:23	11220/11220	---M--	200	added ('OK')	font/woff2	etag:%22e360c61c5bd8d90639fd4503c829c2dc%22	https://studia.ai/_next/static/media/97e0cb1ae144a2a9-s.woff2	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/media/97e0cb1ae144a2a9-s.woff2	(from https://studia.ai/_next/static/css/108823ae8eada08a.css)
18:35:24	19072/19072	---M--	200	added ('OK')	font/woff2	etag:%22f0b86e7c24f455280b8df606b89af891%22	https://studia.ai/_next/static/media/581909926a08bbc8-s.woff2	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/media/581909926a08bbc8-s.woff2	(from https://studia.ai/_next/static/css/108823ae8eada08a.css)
18:35:24	10280/10280	---M--	200	added ('OK')	font/woff2	etag:%22d54db44de5ccb18886ece2fda72bdfe0%22	https://studia.ai/_next/static/media/df0a9ae256c0569c-s.woff2	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/media/df0a9ae256c0569c-s.woff2	(from https://studia.ai/_next/static/css/108823ae8eada08a.css)
18:35:25	74316/74316	---M--	200	added ('OK')	font/woff2	etag:%22621a07228c8ccbfd647918f1021b4868%22	https://studia.ai/_next/static/media/6d93bde91c0c2823-s.woff2	C:/My%20Web%20Sites/Studia%20AI/studia.ai/_next/static/media/6d93bde91c0c2823-s.woff2	(from https://studia.ai/_next/static/css/108823ae8eada08a.css)
